PaymentID,ReportID,PaymentMethod,PaymentDate,TotalAmount,CompanyPaidAmount,EmployeeDueAmount,PaymentStatus,CompanyCode,PostingDate,Currency,ItemNumber,CostCenter,GLAccount,JournalName,DocumentType,PostingKey,ProfitCenter,Amount,JournalLineDescription,DebitAmount,CreditAmount,FiscalYear,PostedDate,ExchangeRate,ExchangeRateType,ExchangeRateDate,JournalSource,JournalCategory,PrimaryLedger
PAY-26,00e8f3c1-9171-45bc-a7f7-8a8ce95155db,CorporateCardSettlement,2025-01-24T00:00:00,606.84,540.53,66.31,PAID,C001,2025-08-22,INR,ITEM-26,CC100,400000,JNL-BOTH,SA,50,PC02,4001.65,Lose finish table authority worry.,0.0,4001.65,2025,2025-01-08,0.8144,M,2025-08-24,CONCUR,EXPENSE,CORP_LEDGER
PAY-27,00ee9b45-6883-407c-9ac1-657b73108d17,BankTransfer,2025-05-04T00:00:00,728.26,642.6,85.66,PAID,C001,2025-04-04,EUR,ITEM-27,CC100,600000,JNL-SOMEONE,DR,50,PC03,779.15,Western rise agreement success write.,779.15,0.0,2025,2025-04-06,1.277,B,2025-07-03,CONCUR,TRAVEL,APAC_LEDGER
PAY-28,00fb6cb8-7836-4fec-8371-5cdb73e499ac,ExpenseReimbursement,2025-07-01T00:00:00,1056.64,955.33,101.31,PAID,C002,2025-07-18,USD,ITEM-28,CC300,600000,JNL-BECOME,DR,40,PC03,3890.3,Size north parent until however performance.,0.0,3890.3,2025,2025-03-01,1.185,B,2025-02-01,WORKDAY,TRAVEL,APAC_LEDGER
PAY-29,01057861-9d1d-4387-a133-d2b3ffe76cd3,ExpenseReimbursement,2025-05-08T00:00:00,876.71,805.83,70.88,PAID,C001,2024-10-23,GBP,ITEM-29,CC100,600000,JNL-IT,SA,50,PC02,3351.27,Affect into long feeling.,3351.27,0.0,2025,2025-02-14,0.7243,M,2025-08-07,WORKDAY,PURCHASE,APAC_LEDGER
PAY-30,0109b060-e016-4ee7-bd04-71ce86bfc96d,CorporateCardSettlement,2023-11-25T00:00:00,231.28,182.18,49.1,PAID,C001,2025-01-11,USD,ITEM-30,CC300,500000,JNL-SUGGEST,KR,40,PC02,642.71,Anything the collection along.,0.0,642.71,2025,2025-07-22,0.9696,B,2024-10-20,WORKDAY,EXPENSE,APAC_LEDGER
PAY-31,010f4120-88d5-4d87-927b-79a3f4063415,BankTransfer,2024-07-15T00:00:00,99.2,88.25,10.95,PAID,C002,2025-08-07,EUR,ITEM-31,CC100,400000,JNL-GAS,SA,40,PC03,4713.74,Worker treat feeling.,4713.74,0.0,2025,2025-02-14,1.3399,C,2024-10-17,SAP,EXPENSE,CORP_LEDGER
PAY-32,011134a9-745e-42e5-9010-d1a7cfcb1a83,BankTransfer,2024-05-10T00:00:00,182.1,152.77,29.33,PAID,C002,2025-09-07,GBP,ITEM-32,CC100,400000,JNL-TROUBLE,SA,40,PC02,65.25,Again attorney want foreign middle wife full.,0.0,65.25,2025,2025-04-17,1.072,C,2025-04-22,SAP,PURCHASE,APAC_LEDGER
PAY-33,01157869-f7cf-417d-a5c7-2b72dcf992d7,BankTransfer,2023-11-17T00:00:00,340.58,271.64,68.94,PAID,C001,2025-08-16,GBP,ITEM-33,CC200,500000,JNL-AND,KR,50,PC01,2885.57,Control whom hundred.,2885.57,0.0,2025,2024-12-02,1.4015,C,2024-11-17,SAP,PURCHASE,APAC_LEDGER
PAY-34,01231112-5c41-4a93-b1b3-b1cb74efa985,ExpenseReimbursement,2024-07-21T00:00:00,399.37,316.45,82.92,PAID,C002,2025-01-05,GBP,ITEM-34,CC100,600000,JNL-LARGE,KR,50,PC03,336.57,It control shake along behind child.,0.0,336.57,2025,2024-10-25,0.8643,M,2025-03-08,WORKDAY,PURCHASE,CORP_LEDGER
PAY-35,012d8ebe-f9c9-4432-9b95-c2f2c3943fff,BankTransfer,2025-01-12T00:00:00,754.18,749.44,4.74,PAID,C001,2025-08-18,INR,ITEM-35,CC100,500000,JNL-ANOTHER,SA,50,PC02,374.46,Available thank example.,374.46,0.0,2025,2025-08-22,1.0159,M,2025-06-23,CONCUR,PURCHASE,APAC_LEDGER
PAY-36,013062ba-442f-4be8-a61b-f73fb8d4687b,BankTransfer,2024-09-20T00:00:00,124.46,98.93,25.53,PAID,C003,2025-03-24,INR,ITEM-36,CC300,400000,JNL-CAPITAL,SA,40,PC02,4701.36,After performance expert simply door.,0.0,4701.36,2025,2024-11-20,1.2283,B,2025-05-21,WORKDAY,PURCHASE,CORP_LEDGER
PAY-37,014c7b72-2490-4598-b151-9383abe8bd9b,CorporateCardSettlement,2024-08-18T00:00:00,12.36,11.85,0.51,PAID,C002,2025-09-06,GBP,ITEM-37,CC300,400000,JNL-PROVE,DR,40,PC03,1602.76,Near glass different discuss what really represent.,1602.76,0.0,2025,2025-01-15,1.1861,B,2025-01-18,CONCUR,TRAVEL,APAC_LEDGER
PAY-38,014cb91e-69d4-4f25-a089-bcd5d3bc7d26,BankTransfer,2023-12-30T00:00:00,1231.1,943.92,287.18,PAID,C001,2025-07-16,GBP,ITEM-38,CC200,600000,JNL-LAWYER,KR,40,PC02,3347.13,Trial focus window approach someone.,0.0,3347.13,2025,2025-06-10,1.3738,M,2025-02-12,CONCUR,TRAVEL,APAC_LEDGER
PAY-39,0152ed97-eee2-49d9-825c-8c9a71c87b8d,CorporateCardSettlement,2024-03-14T00:00:00,783.25,741.1,42.15,PAID,C001,2025-07-14,INR,ITEM-39,CC200,400000,JNL-SUCCESSFUL,KR,50,PC02,946.03,West cell picture such parent mission under less.,946.03,0.0,2025,2025-02-25,1.1251,B,2025-01-06,SAP,PURCHASE,CORP_LEDGER
PAY-40,0154cab6-ae84-4e7a-95b4-c2703ce1c8d2,CorporateCardSettlement,2024-08-08T00:00:00,510.96,391.29,119.67,PAID,C001,2024-12-22,USD,ITEM-40,CC300,600000,JNL-SAY,SA,40,PC03,2846.15,Others power responsibility dinner.,0.0,2846.15,2025,2025-02-19,1.0798,M,2025-06-03,WORKDAY,PURCHASE,APAC_LEDGER
PAY-41,0157a110-0a14-44f3-ab09-654bf1529c00,ExpenseReimbursement,2025-03-15T00:00:00,787.9,691.95,95.95,PAID,C002,2025-07-09,USD,ITEM-41,CC300,500000,JNL-THOUGH,SA,40,PC03,4430.61,East debate certainly computer.,4430.61,0.0,2025,2025-03-20,1.2651,M,2024-11-22,SAP,EXPENSE,APAC_LEDGER
PAY-42,015cd4eb-085e-458e-8eb8-4a1065ab0d35,ExpenseReimbursement,2025-07-13T00:00:00,132.29,124.17,8.12,PAID,C003,2025-04-05,GBP,ITEM-42,CC100,600000,JNL-STAY,SA,40,PC02,1236.1,Who party else suggest when.,0.0,1236.1,2025,2024-10-27,1.3271,B,2024-10-30,SAP,PURCHASE,CORP_LEDGER
PAY-43,015dd8ae-9217-4456-b52d-63c5dff4f3e5,ExpenseReimbursement,2024-03-10T00:00:00,1106.19,998.4,107.79,PAID,C003,2025-04-27,USD,ITEM-43,CC200,500000,JNL-EXPERT,KR,40,PC03,2477.9,Development rate prepare rate rest voice soldier present.,2477.9,0.0,2025,2024-11-07,1.1075,M,2024-11-23,WORKDAY,PURCHASE,CORP_LEDGER
PAY-44,01710a7e-4063-46de-be10-20cc910dbad9,CorporateCardSettlement,2023-11-05T00:00:00,127.79,117.53,10.26,PAID,C003,2024-11-01,USD,ITEM-44,CC100,400000,JNL-LET,KR,40,PC03,3592.53,Court two resource show moment any someone.,0.0,3592.53,2025,2025-05-14,0.824,M,2025-02-15,WORKDAY,EXPENSE,CORP_LEDGER
PAY-45,018a93c5-04f8-49d2-9195-950bfb381da6,ExpenseReimbursement,2025-10-13T00:00:00,1200.99,1085.17,115.82,PAID,C001,2025-01-07,INR,ITEM-45,CC100,400000,JNL-OFFER,DR,40,PC02,4126.43,Court month necessary force environmental scientist.,4126.43,0.0,2025,2025-03-18,1.433,B,2024-12-12,WORKDAY,TRAVEL,APAC_LEDGER
PAY-46,018f214b-1109-4c47-9c03-4c9404c3f48b,BankTransfer,2024-04-12T00:00:00,1416.23,1103.13,313.1,PAID,C002,2025-05-16,GBP,ITEM-46,CC200,600000,JNL-SUPPORT,SA,50,PC02,2267.97,Music professor half picture culture.,0.0,2267.97,2025,2025-09-09,0.8178,C,2025-06-10,CONCUR,TRAVEL,CORP_LEDGER
PAY-47,01979497-20e9-436c-9b50-a86a6042911d,ExpenseReimbursement,2025-08-19T00:00:00,818.05,616.37,201.68,PAID,C001,2025-01-27,INR,ITEM-47,CC300,500000,JNL-TRUE,KR,40,PC01,1001.06,Even officer computer military all ask environment prevent.,1001.06,0.0,2025,2024-11-09,1.2606,C,2025-09-09,WORKDAY,TRAVEL,CORP_LEDGER
PAY-48,0197dc48-92f3-4a0f-b717-e724cf653d87,BankTransfer,2024-02-16T00:00:00,42.07,35.86,6.21,PAID,C003,2025-01-14,EUR,ITEM-48,CC300,400000,JNL-STRONG,KR,50,PC01,3264.56,Yet face about attack no.,0.0,3264.56,2025,2025-03-06,1.4681,C,2025-02-20,CONCUR,PURCHASE,APAC_LEDGER
PAY-49,01ad3cc0-1fc5-40e0-936f-f8692c1ad1e5,BankTransfer,2025-09-18T00:00:00,329.82,307.07,22.75,PAID,C001,2024-10-24,GBP,ITEM-49,CC200,400000,JNL-ADMIT,DR,50,PC02,4982.49,Case stop quality north budget grow easy.,4982.49,0.0,2025,2025-03-20,1.1043,C,2025-04-13,CONCUR,EXPENSE,APAC_LEDGER
PAY-50,01ae7944-9f5c-44f4-9137-7b6ec0b2f9a2,ExpenseReimbursement,2023-11-22T00:00:00,1223.41,1212.53,10.88,PAID,C003,2024-12-23,INR,ITEM-50,CC200,500000,JNL-GOVERNMENT,KR,40,PC01,3259.11,Yeah political example fight customer sometimes.,0.0,3259.11,2025,2024-12-08,0.7537,B,2025-07-03,CONCUR,TRAVEL,CORP_LEDGER
PAY-51,01b8f17a-233b-4452-acd2-834f540a3363,BankTransfer,2025-07-12T00:00:00,324.94,301.85,23.09,PAID,C003,2025-05-04,INR,ITEM-51,CC200,500000,JNL-BEAT,KR,40,PC02,4001.14,Officer eight between whom.,4001.14,0.0,2025,2025-07-10,0.9303,M,2025-03-29,SAP,EXPENSE,APAC_LEDGER
PAY-52,01be7046-d320-4f9d-9985-5924371e6869,ExpenseReimbursement,2025-01-20T00:00:00,198.2,154.17,44.03,PAID,C002,2025-06-03,GBP,ITEM-52,CC300,400000,JNL-FINE,SA,50,PC03,4309.9,Type leg including service to do.,0.0,4309.9,2025,2025-04-19,0.9631,B,2025-06-03,SAP,EXPENSE,CORP_LEDGER
PAY-53,01c99d5e-2d62-42bd-8007-4e50be3eeaad,BankTransfer,2024-10-02T00:00:00,1123.25,917.18,206.07,PAID,C001,2025-01-04,GBP,ITEM-53,CC100,600000,JNL-PRACTICE,DR,40,PC02,119.72,Back price main not.,119.72,0.0,2025,2025-04-02,0.7893,B,2025-05-12,CONCUR,PURCHASE,CORP_LEDGER
PAY-54,01d2521a-fb16-4797-b985-c587112b937a,ExpenseReimbursement,2024-04-05T00:00:00,1342.72,1106.51,236.21,PAID,C002,2025-09-17,GBP,ITEM-54,CC200,400000,JNL-TYPE,DR,40,PC02,224.28,Claim miss station range.,0.0,224.28,2025,2025-05-04,0.8411,B,2024-10-06,WORKDAY,TRAVEL,APAC_LEDGER
PAY-55,01d64717-4339-4a4e-922b-23e07ec1dc8a,BankTransfer,2024-05-23T00:00:00,797.86,754.75,43.11,PAID,C002,2025-03-06,INR,ITEM-55,CC200,400000,JNL-DEEP,SA,50,PC03,957.82,Physical through voice black space sing clearly.,957.82,0.0,2025,2025-07-20,0.8239,B,2025-09-04,WORKDAY,TRAVEL,APAC_LEDGER
PAY-56,01d7d6ee-1eb8-491b-94ab-99f791f9b3bb,CorporateCardSettlement,2025-02-12T00:00:00,503.38,480.19,23.19,PAID,C002,2025-08-19,USD,ITEM-56,CC200,600000,JNL-REPRESENT,SA,50,PC02,2794.14,Near staff step different customer body may.,0.0,2794.14,2025,2025-01-13,0.7508,B,2025-06-14,WORKDAY,EXPENSE,CORP_LEDGER
PAY-57,01d89ea8-c17a-4095-82ab-54f959e3f8d6,ExpenseReimbursement,2024-04-27T00:00:00,220.6,215.94,4.66,PAID,C001,2024-09-27,USD,ITEM-57,CC300,500000,JNL-WATER,DR,40,PC01,348.13,Only democratic population population.,348.13,0.0,2025,2025-07-06,0.777,B,2025-07-24,CONCUR,PURCHASE,APAC_LEDGER
PAY-58,01e32c21-69c9-45cc-94c7-cca2e3f981a2,BankTransfer,2025-07-20T00:00:00,10.3,8.23,2.07,PAID,C001,2025-05-19,GBP,ITEM-58,CC200,400000,JNL-SUCCESS,DR,50,PC02,1371.47,Follow behind population hard training edge.,0.0,1371.47,2025,2024-12-13,1.4937,C,2025-08-06,WORKDAY,TRAVEL,APAC_LEDGER
PAY-59,01eae06e-1b38-452c-ad5c-e1ff9176b0fb,ExpenseReimbursement,2025-01-15T00:00:00,885.96,874.88,11.08,PAID,C002,2025-02-16,INR,ITEM-59,CC100,600000,JNL-HIMSELF,SA,50,PC03,883.38,Although middle language worker hard local crime.,883.38,0.0,2025,2025-04-02,1.2888,M,2024-10-10,SAP,EXPENSE,CORP_LEDGER
PAY-60,01ee8ec0-ef41-41fb-bb9d-06b460992220,ExpenseReimbursement,2025-02-28T00:00:00,919.57,702.28,217.29,PAID,C003,2025-05-04,INR,ITEM-60,CC300,500000,JNL-WHATEVER,KR,50,PC02,3872.76,Consider management long stuff agency newspaper.,0.0,3872.76,2025,2025-02-15,0.7904,M,2025-09-08,WORKDAY,TRAVEL,APAC_LEDGER
PAY-61,01f4f57b-0e77-4154-902a-456bbd342969,CorporateCardSettlement,2025-07-10T00:00:00,967.28,734.94,232.34,PAID,C001,2025-05-24,INR,ITEM-61,CC300,600000,JNL-FIVE,SA,40,PC02,3315.04,Represent school to page hospital impact exactly young.,3315.04,0.0,2025,2024-10-12,1.4048,C,2024-12-22,WORKDAY,PURCHASE,CORP_LEDGER
PAY-62,01f5c09a-9a94-45dd-bf0f-cdb4c383eba2,BankTransfer,2024-05-13T00:00:00,294.79,222.33,72.46,PAID,C003,2025-04-17,INR,ITEM-62,CC100,600000,JNL-RESULT,DR,40,PC01,4756.49,Financial subject focus only challenge.,0.0,4756.49,2025,2025-07-27,0.9547,B,2024-12-22,SAP,PURCHASE,CORP_LEDGER
PAY-63,02027a77-fb77-44d1-a28d-f11b8ea2389b,BankTransfer,2024-01-16T00:00:00,990.02,923.26,66.76,PAID,C002,2024-09-21,GBP,ITEM-63,CC100,400000,JNL-DETAIL,KR,40,PC03,2212.03,Shake describe manage suddenly effort that.,2212.03,0.0,2025,2025-05-07,1.0002,B,2025-03-04,SAP,TRAVEL,APAC_LEDGER
PAY-64,020ae8ca-8e28-443e-a6cb-8374e81894ca,BankTransfer,2024-07-16T00:00:00,676.98,601.28,75.7,PAID,C001,2025-08-02,USD,ITEM-64,CC100,500000,JNL-STANDARD,SA,40,PC02,1315.04,Structure young figure skin get western only.,0.0,1315.04,2025,2024-12-21,0.9147,M,2025-06-12,SAP,TRAVEL,CORP_LEDGER
PAY-65,020fb8b6-5f32-4c95-a2f1-fa39bf0c3fc0,ExpenseReimbursement,2025-07-18T00:00:00,677.34,577.49,99.85,PAID,C001,2025-03-11,GBP,ITEM-65,CC200,600000,JNL-NECESSARY,SA,40,PC01,237.74,Around economy deep full think movement then several.,237.74,0.0,2025,2025-09-04,0.9054,C,2024-12-10,WORKDAY,EXPENSE,APAC_LEDGER
PAY-66,0210555e-ac0b-4f6c-b096-46772e413548,BankTransfer,2025-05-13T00:00:00,976.74,747.09,229.65,PAID,C003,2025-06-15,EUR,ITEM-66,CC100,400000,JNL-COMPANY,KR,40,PC01,352.62,Laugh notice approach.,0.0,352.62,2025,2024-12-21,1.083,C,2025-04-23,CONCUR,EXPENSE,APAC_LEDGER
PAY-67,021a9fc0-1481-4132-b351-1604080b5daa,CorporateCardSettlement,2024-06-24T00:00:00,372.24,318.47,53.77,PAID,C003,2024-11-17,GBP,ITEM-67,CC300,600000,JNL-CASE,DR,50,PC03,1304.55,Child fast son.,1304.55,0.0,2025,2025-01-06,1.1018,M,2025-01-25,CONCUR,EXPENSE,APAC_LEDGER
PAY-68,021b120c-bfba-46eb-9dcc-ecefaf2a1f18,BankTransfer,2024-12-25T00:00:00,1154.23,1042.09,112.14,PAID,C002,2025-08-26,EUR,ITEM-68,CC100,600000,JNL-WITH,KR,50,PC01,3849.82,Notice state now mention allow.,0.0,3849.82,2025,2025-05-12,1.3898,C,2025-04-08,SAP,TRAVEL,APAC_LEDGER
PAY-69,021d926f-f6f3-48c3-9408-0452363b78f4,ExpenseReimbursement,2025-04-24T00:00:00,531.52,481.4,50.12,PAID,C002,2025-06-15,EUR,ITEM-69,CC300,400000,JNL-FOUR,DR,40,PC02,3064.28,Military understand difficult wait drop.,3064.28,0.0,2025,2024-10-09,1.1711,C,2025-08-12,CONCUR,EXPENSE,APAC_LEDGER
PAY-70,02331b35-7973-4357-8629-9dc1cc5bd756,ExpenseReimbursement,2024-11-18T00:00:00,175.28,171.37,3.91,PAID,C003,2025-03-07,GBP,ITEM-70,CC200,500000,JNL-ALONG,KR,50,PC02,2788.06,However month half agency as might behind.,0.0,2788.06,2025,2024-09-24,1.2459,B,2025-03-01,SAP,PURCHASE,CORP_LEDGER
PAY-71,023c8cba-46c9-42ae-b741-045880f9ad60,CorporateCardSettlement,2024-02-22T00:00:00,911.84,768.38,143.46,PAID,C001,2025-07-08,USD,ITEM-71,CC200,500000,JNL-HUMAN,KR,50,PC01,3799.21,Station everybody usually cause notice.,3799.21,0.0,2025,2025-08-11,1.4711,C,2025-07-23,SAP,PURCHASE,CORP_LEDGER
